word,level,pos,definition_url,voice_url
access,b1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/access_2,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/acces/access__us_2.ogg
accessible,c1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/accessible,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/acces/accessible__us_1.ogg
accident,a2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/accident,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accid/accident__us_2_rr.ogg
accidentally,b2,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/accidentally,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accid/accidentally__us_1.ogg
accommodate,b2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/accommodate,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accom/accommodate__us_1.ogg
accommodation,b1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/accommodation,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accom/accommodation__us_2.ogg
accompany,b2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/accompany,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accom/accompany__us_2.ogg
accomplish,b2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/accomplish,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accom/accomplish__us_1.ogg
accomplishment,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/accomplishment,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accom/accomplishment__us_1.ogg
accordance,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/accordance,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accor/accordance__us_1.ogg
according to,a2,preposition,https://www.oxfordlearnersdictionaries.com/definition/english/according-to,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accor/according_to_1_us_3.ogg
accordingly,c1,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/accordingly,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accor/accordingly__us_1.ogg
account,b1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/account_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accou/account__us_1.ogg
account,b2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/account_2,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accou/account__us_1.ogg
accountability,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/accountability,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accou/accountability__us_1.ogg
accountable,c1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/accountable,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accou/accountable__us_1.ogg
accountant,b2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/accountant,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accou/accountant__us_1.ogg
accounting,,noun,https://www.oxfordlearnersdictionaries.com/definition/english/accounting,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accou/accounting__us_1.ogg
accumulate,c1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/accumulate,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accum/accumulate__us_1.ogg
accumulation,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/accumulation,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accum/accumulation__us_1.ogg
accuracy,b2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/accuracy,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accur/accuracy__us_1.ogg
accurate,b2,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/accurate,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accur/accurate__us_1.ogg
accurately,b2,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/accurately,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accur/accurately__us_1.ogg
accusation,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/accusation,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accus/accusation__us_1.ogg
accuse,b2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/accuse,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accus/accuse__us_2.ogg
accused,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/the-accused,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accus/accused__us_1.ogg
achieve,a2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/achieve,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ach/achie/achieve__us_2.ogg
achievement,b1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/achievement,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ach/achie/achievement__us_1.ogg
acid,c1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/acid_2,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aci/acid_/acid__us_1.ogg
acid,b2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/acid_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aci/acid_/acid__us_1.ogg
acknowledge,b2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/acknowledge,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ack/ackno/acknowledge__us_1.ogg
acquire,b2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/acquire,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acq/acqui/acquire__us_2.ogg
acquisition,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/acquisition,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acq/acqui/acquisition__us_1.ogg
acre,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/acre,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acr/acre_/acre__us_1.ogg
across,a1,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/across_2,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acr/acros/across__us_1.ogg
across,a1,preposition,https://www.oxfordlearnersdictionaries.com/definition/english/across_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acr/acros/across__us_1.ogg
act,b1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/act_2,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/act/act__/act__us_2.ogg
act,a2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/act_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/act/act__/act__us_2.ogg
action,a1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/action_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/act/actio/action__us_2.ogg
activate,b2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/activate,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/act/activ/activate__us_1.ogg
activation,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/activation,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/act/activ/activation__us_1.ogg
active,a2,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/active_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/act/activ/active__us_2.ogg
activist,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/activist,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/act/activ/activist__us_1.ogg
activity,a1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/activity,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/act/activ/activity__us_4.ogg
actor,a1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/actor,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/act/actor/actor__us_2.ogg
actress,a1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/actress,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/act/actre/actress__us_2.ogg
actual,b2,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/actual,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/act/actua/actual__us_1_rr.ogg
actually,a2,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/actually,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/act/actua/actually__us_1_rr.ogg
acute,c1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/acute,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acu/acute/acute__us_1.ogg
ad,b1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/ad_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ad_/ad__u/ad__us_2.ogg
adapt,b2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/adapt,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ada/adapt/adapt__us_1.ogg
adaptation,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/adaptation,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ada/adapt/adaptation__us_1.ogg
add,a1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/add_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/add/add__/add__us_2.ogg
addiction,b2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/addiction,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/add/addic/addiction__us_1.ogg
addition,b1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/addition,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/add/addit/addition__us_2.ogg
additional,b2,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/additional,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/add/addit/additional__us_3.ogg
additionally,b2,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/additionally,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/add/addit/additionally__us_1.ogg
address,a1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/address_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/add/addre/address__us_2_rr.ogg
address,b2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/address_2,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/add/addre/address__us_2_rr.ogg
adequate,b2,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/adequate,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ade/adequ/adequate__us_1.ogg
adequately,b2,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/adequately,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ade/adequ/adequately__us_1.ogg
adhere,c1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/adhere,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adh/adher/adhere__us_1.ogg
adjacent,c1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/adjacent,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adj/adjac/adjacent__us_1.ogg
adjust,b2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/adjust,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adj/adjus/adjust__us_1.ogg
adjustment,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/adjustment,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adj/adjus/adjustment__us_1.ogg
administer,c1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/administer,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adm/admin/administer__us_1.ogg
administration,b2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/administration,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adm/admin/administration__us_1.ogg
administrative,c1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/administrative,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adm/admin/administrative__us_1_rr.ogg
administrator,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/administrator,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adm/admin/administrator__us_1.ogg
admire,b1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/admire,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adm/admir/admire__us_1.ogg
admission,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/admission,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adm/admis/admission__us_1.ogg
admit,b1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/admit,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adm/admit/admit__us_2.ogg
adolescent,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/adolescent_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ado/adole/adolescent__us_1.ogg
adopt,b2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/adopt,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ado/adopt/adopt__us_1.ogg
adoption,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/adoption,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ado/adopt/adoption__us_1.ogg
adult,a2,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/adult_2,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adu/adult/adult__us_2_rr.ogg
adult,a1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/adult_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adu/adult/adult__us_2_rr.ogg
advance,b2,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/advance_3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adv/advan/advance__us_1.ogg
advance,b2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/advance_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adv/advan/advance__us_1.ogg
advance,b2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/advance_2,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adv/advan/advance__us_1.ogg
advanced,b1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/advanced,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adv/advan/advanced__us_1.ogg
advantage,a2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/advantage_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adv/advan/advantage__us_1.ogg
adventure,a2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/adventure,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adv/adven/adventure__us_3.ogg
adverse,c1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/adverse,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adv/adver/adverse__us_2_rr.ogg
advertise,a2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/advertise,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adv/adver/advertise__us_1.ogg
advertisement,a2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/advertisement,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adv/adver/advertisement__us_2_rr.ogg
advertising,a2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/advertising,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adv/adver/advertising__us_1.ogg
advice,a1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/advice,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adv/advic/advice__us_1.ogg
advise,b1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/advise,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adv/advis/advise__us_1.ogg
advocate,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/advocate_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adv/advoc/advocate__us_2.ogg
advocate,c1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/advocate_2,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adv/advoc/advocate__us_1.ogg
aesthetic,c1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/aesthetic_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aes/aesth/aesthetic__us_1_rr.ogg
affair,b2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/affair,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aff/affai/affair__us_2.ogg
affect,a2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/affect,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aff/affec/affect__us_1.ogg
affection,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/affection,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aff/affec/affection__us_1.ogg
afford,b1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/afford,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aff/affor/afford__us_1.ogg
